"filename", "language", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\board_black.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\collector.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\collector_black.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\delete.svg", "XML", 0, 0, 9, 0, 1, 10
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\eraser.svg", "XML", 0, 0, 24, 0, 1, 25
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\mask\cloth.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\mask\cloud.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\mask\love.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\mask\qq.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\material.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\material_black.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\pencil.svg", "XML", 0, 0, 19, 0, 1, 20
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\plant_black.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\shape.svg", "XML", 0, 0, 19, 0, 1, 20
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\texture_black.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\video_black.svg", "XML", 0, 0, 1, 0, 0, 1
"Total", "-", 197, 2349, 89, 143, 285, 3063
